"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se existe conteúdo de estratégias/táticas.","1898","10 - Página apresenta estratégias ou táticas","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testStrategiesContentVisible"
"Valida se existe a opção Play with a friend.","2064","06 - Opção Play with a friend está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayWithFriendOptionVisible"
"Valida se clicar em Play vs robot mantém contexto funcional de jogo.","2174","05 - Play vs robot inicia fluxo de jogo","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotFlow"
"Valida se existe opção para criar campeonato.","2017","07 - Opção Create tournament está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testCreateTournamentOptionVisible"
"Valida se o conteúdo principal da homepage está presente.","2023","03 - Página apresenta texto principal do jogo","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageMainText"
"Valida se a página principal do Battleship abre corretamente.","5640","01 - Página principal abre com URL correto","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageUrl"
"Valida se o título principal Battleship Online está visível.","1896","02 - Página apresenta título principal","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageTitleVisible"
"Valida se existe a opção Play vs robot.","2028","04 - Opção Play vs robot está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotOptionVisible"
"Valida se a secção de regras está disponível.","2118","08 - Secção de regras está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesSectionVisible"
"Valida se as regras apresentam conteúdo explicativo.","2090","09 - Regras apresentam conteúdo explicativo","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesContentVisible"
