"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se as regras apresentam conteúdo explicativo.","2287","09 - Regras apresentam conteúdo explicativo","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesContentVisible"
"Valida se existe conteúdo de estratégias/táticas.","1892","10 - Página apresenta estratégias ou táticas","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testStrategiesContentVisible"
"Valida se existe opção para criar campeonato.","2637","07 - Opção Create tournament está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testCreateTournamentOptionVisible"
"Valida se o título principal Battleship Online está visível.","1967","02 - Página apresenta título principal","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageTitleVisible"
"Valida se existe a opção Play with a friend.","2804","06 - Opção Play with a friend está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayWithFriendOptionVisible"
"Valida se a secção de regras está disponível.","1883","08 - Secção de regras está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesSectionVisible"
"Valida se clicar em Play vs robot mantém contexto funcional de jogo.","2173","05 - Play vs robot inicia fluxo de jogo","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotFlow"
"Valida se existe a opção Play vs robot.","2010","04 - Opção Play vs robot está visível","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotOptionVisible"
"Valida se a página principal do Battleship abre corretamente.","3903","01 - Página principal abre com URL correto","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageUrl"
"Valida se o conteúdo principal da homepage está presente.","1996","03 - Página apresenta texto principal do jogo","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageMainText"
